 PENTAD       20E      70E      80E     100E     120E     140E     160E     120W      40W      10W
19800418     1.73     0.26    -0.06    -1.19    -1.92    -2.12    -1.17     0.36     1.43     2.06
19800423     1.89     2.07     1.77     1.00     0.00    -1.24    -2.10    -1.70    -0.76     0.50
19800428     0.43     0.86     0.82     0.73     0.45    -0.05    -0.66    -0.85    -0.68    -0.27
19800503     0.07    -0.27    -0.29    -0.40    -0.38    -0.22     0.11     0.36     0.43     0.36
19800508     0.60    -0.06    -0.20    -0.59    -0.80    -0.76    -0.28     0.33     0.70     0.85
19800513     1.00     0.99     0.83     0.40    -0.11    -0.69    -1.03    -0.75    -0.24     0.37
19800518     0.16     0.21     0.25     0.16     0.05    -0.09    -0.20    -0.17    -0.09     0.03
19800523     0.14    -0.15    -0.23    -0.32    -0.33    -0.23     0.02     0.25     0.34     0.33
19800528    -0.17    -0.14    -0.09     0.00     0.09     0.17     0.18     0.10     0.00    -0.09
19800602    -0.41    -0.34    -0.25    -0.05     0.15     0.35     0.41     0.24     0.02    -0.21
19800607     0.43     0.39     0.20     0.08    -0.09    -0.29    -0.40    -0.28    -0.09     0.17
19800612     0.61     0.79     0.76     0.51     0.16    -0.32    -0.73    -0.68    -0.38     0.05
19800617    -0.28     0.03     0.03     0.26     0.39     0.41     0.18    -0.15    -0.35    -0.42
19800622     0.03    -0.46    -0.54    -0.65    -0.58    -0.28     0.25     0.60     0.66     0.50
19800627     0.62    -0.13    -0.27    -0.72    -0.95    -0.88    -0.30     0.40     0.80     0.95
19800702     1.47     0.31     0.13    -0.88    -1.54    -1.76    -1.03     0.24     1.14     1.69
19800707     1.70     1.12     0.87    -0.04    -0.88    -1.58    -1.57    -0.67     0.28     1.18
19800712     0.41     0.27     0.21    -0.01    -0.21    -0.37    -0.36    -0.13     0.09     0.30
19800717     0.15    -0.12    -0.05    -0.25    -0.34    -0.30    -0.06     0.20     0.33     0.34
19800722    -0.60    -0.39    -0.21     0.06     0.32     0.54     0.51     0.20    -0.12    -0.42
19800727    -0.83    -0.69    -0.50    -0.11     0.29     0.70     0.82     0.49     0.05    -0.43
19800801    -0.52    -0.60    -0.50    -0.29    -0.01     0.35     0.62     0.52     0.26    -0.10
19800806    -0.18    -0.07    -0.03     0.08     0.16     0.20     0.15     0.03    -0.08    -0.17
19800811    -0.43     0.11     0.20     0.53     0.69     0.63     0.21    -0.30    -0.59    -0.69
19800816    -0.64    -0.40    -0.23     0.06     0.34     0.57     0.54     0.21    -0.13    -0.46
19800821    -0.08    -1.03    -1.09    -1.26    -1.08    -0.47     0.59     1.23     1.28     0.91
19800826     1.14    -0.18    -0.53    -1.31    -1.68    -1.55    -0.52     0.72     1.43     1.69
19800831     0.65     0.08    -0.04    -0.49    -0.75    -0.81    -0.40     0.21     0.61     0.82
19800905     0.50    -0.48    -0.60    -1.08    -1.21    -0.94    -0.05     0.81     1.18     1.16
19800910     1.61     0.92     0.58    -0.27    -1.00    -1.55    -1.36    -0.42     0.47     1.25
19800915     1.13     1.23     1.05     0.58    -0.02    -0.77    -1.28    -1.03    -0.45     0.30
19800920    -0.60     0.12     0.23     0.71     0.95     0.90     0.32    -0.38    -0.79    -0.93
19800925    -0.36    -0.20    -0.15     0.06     0.24     0.36     0.31     0.08    -0.12    -0.30
19800930     0.15     0.46     0.47     0.47     0.34     0.06    -0.31    -0.48    -0.44    -0.24
19801005    -0.44     0.02     0.03     0.42     0.64     0.66     0.32    -0.18    -0.49    -0.63
19801010    -0.69    -0.79    -0.72    -0.42    -0.03     0.46     0.82     0.70     0.35    -0.13
19801015    -0.15    -0.65    -0.70    -0.73    -0.56    -0.16     0.44     0.74     0.71     0.44
19801020     1.13     0.14    -0.10    -0.87    -1.34    -1.44    -0.74     0.32     1.02     1.40
19801025     1.94     0.99     0.64    -0.46    -1.36    -1.97    -1.63    -0.40     0.72     1.63
19801030     0.83     1.25     1.16     0.88     0.37    -0.39    -1.12    -1.17    -0.78    -0.11
19801104    -0.15     0.77     0.87     1.15     1.10     0.64    -0.31    -1.00    -1.18    -0.96
19801109    -0.13     0.43     0.58     0.70     0.64     0.37    -0.17    -0.56    -0.67    -0.57
19801114    -0.42    -0.49    -0.48    -0.29    -0.04     0.28     0.53     0.46     0.23    -0.07
19801119     0.07    -0.40    -0.51    -0.59    -0.53    -0.27     0.20     0.52     0.59     0.48
19801124     0.95     0.94     0.76     0.38    -0.10    -0.66    -0.99    -0.73    -0.25     0.34
19801129    -0.01     0.27     0.22     0.33     0.32     0.19    -0.10    -0.31    -0.36    -0.28
19801204     0.49     0.04    -0.12    -0.43    -0.61    -0.62    -0.29     0.18     0.47     0.62
19801209     0.83    -0.17    -0.47    -1.02    -1.27    -1.15    -0.36     0.57     1.09     1.27
19801214     0.06    -0.21    -0.29    -0.38    -0.36    -0.23     0.06     0.29     0.36     0.30
19801219     0.82     0.64     0.42     0.06    -0.31    -0.68    -0.76    -0.40     0.02     0.47
19801224     0.38     0.42     0.27     0.16     0.00    -0.24    -0.41    -0.34    -0.17     0.08
19801229     0.23     0.21     0.08     0.02    -0.06    -0.17    -0.22    -0.14    -0.03     0.10
19810103     0.57    -0.08    -0.35    -0.67    -0.81    -0.74    -0.23     0.35     0.69     0.82
19810108     0.96     0.73     0.47     0.04    -0.39    -0.83    -0.90    -0.46     0.05     0.57
19810113     1.01     0.94     0.77     0.29    -0.24    -0.82    -1.09    -0.72    -0.18     0.43
19810118     1.16     2.32     2.37     2.03     1.18    -0.27    -1.92    -2.35    -1.83    -0.70
19810123    -0.06     0.30     0.35     0.42     0.39     0.21    -0.11    -0.35    -0.41    -0.35
19810128     1.22     0.44     0.21    -0.52    -1.05    -1.33    -0.91     0.00     0.72     1.22
19810202     1.66     1.26     0.93     0.13    -0.67    -1.41    -1.56    -0.81     0.08     0.99
19810207     1.39     1.50     1.35     0.71    -0.06    -0.99    -1.58    -1.23    -0.51     0.41
19810212     0.98     1.08     0.94     0.52    -0.02    -0.68    -1.11    -0.87    -0.36     0.28
19810217     0.87     1.37     1.31     1.01     0.47    -0.35    -1.19    -1.29    -0.89    -0.18
19810222     0.94     1.51     1.45     1.13     0.53    -0.38    -1.31    -1.44    -1.00    -0.21
19810227     1.28     1.21     1.04     0.43    -0.24    -0.98    -1.36    -0.94    -0.27     0.53
19810304     0.15     1.34     1.54     1.67     1.36     0.54    -0.81    -1.59    -1.62    -1.11
19810309     0.04     1.08     1.23     1.41     1.20     0.55    -0.60    -1.32    -1.41    -1.01
19810314    -1.13     0.86     1.32     2.18     2.42     1.89     0.15    -1.53    -2.30    -2.33
19810319    -1.74     0.19     0.66     1.85     2.47     2.36     0.88    -0.98    -2.07    -2.52
19810324    -1.82    -1.50    -1.23    -0.34     0.60     1.53     1.85     1.10     0.11    -0.95
19810329    -1.05    -2.32    -2.33    -2.13    -1.36     0.06     1.82     2.41     1.99     0.88
19810403     0.92    -1.54    -2.01    -2.89    -2.94    -1.98     0.35     2.30     3.00     2.74
19810408     1.98     0.08    -0.55    -1.72    -2.39    -2.38    -1.04     0.80     1.96     2.55
19810413     2.31     2.32     1.88     0.93    -0.24    -1.59    -2.41    -1.80    -0.65     0.80
19810418     0.80     1.37     1.44     1.12     0.55    -0.30    -1.18    -1.31    -0.93    -0.24
19810423     0.82     0.84     0.90     0.45    -0.06    -0.62    -0.96    -0.71    -0.26     0.29
19810428     0.03     1.25     1.35     1.61     1.42     0.68    -0.64    -1.50    -1.61    -1.18
19810503    -1.43    -0.37    -0.02     0.81     1.39     1.62     1.00    -0.13    -0.98    -1.54
19810508    -1.06    -0.66    -0.48     0.09     0.61     1.02     0.99     0.41    -0.20    -0.76
19810513    -0.14    -1.23    -1.33    -1.49    -1.24    -0.50     0.72     1.43     1.47     1.01
